,Category,Message
1068,ham,meeting u work tel shall work tomorrow
781,ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
2089,spam,well done england get official poly ringtone colour flag yer mobile text tone flag opt txt eng stop box w wx
4851,ham,maybe find something else instead
974,ham,account number
919,ham,hey gave photo registered driving ah tmr wanna meet yck
1154,spam,girls many local u r virgins r ready fil ur every sexual need u fil text cute p
641,ham,well imma definitely need restock thanksgiving let know
420,spam,send logo ur lover names joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ads p
1060,spam,eastenders tv quiz flower dot compare violet e tulip f lily txt e f chance win cash wkent p
5144,ham,office da
4855,ham,also north carolina texas atm would go gre site pay test results sent
1973,ham,yes meet town cos go gep home could text bus stop worry finished march ish
4290,ham,okay good problem thanx
5428,ham,didnt complete gist oh
3819,spam,xmas iscoming ur awarded either cd gift vouchers free entry r weekly draw txt music tnc
2820,ham,forget owns private property good boy always passionate kiss
1022,spam,guess somebody know secretly fancies wanna find give us call landline datebox essexcm xn p min
4759,spam,urgent mobile number awarded prize guaranteed call land line claim valid hrs ppm
5196,spam,spook mob halloween collection logo pic message plus free eerie tone txt card spook zed p per logo pic
3723,ham,movie collect car oredi
4261,ham,plans family set stone
811,ham,nervous lt gt
3489,ham,still checked da
2653,ham,need drug anymore
547,ham,know need get hotel got invitation apologise cali sweet come english bloke weddin
4756,ham,u wan haf lunch da canteen
120,spam,private account statement shows unredeemed bonus points claim call identifier code expires
3777,ham,ok lor msg b u call
5357,ham,ok
1925,ham,ok
869,spam,hello need posh birds chaps user trial prods champneys put need address dob asap ta r
3477,ham,probably come everybody done around lt gt right
5131,ham,sucks go u hair free right
4661,ham,call tell infront call
2362,ham,hi sorry missed call pls call back
2278,ham,hello r u im bored inever thought id get bored tv tell something exciting happened anything
4071,ham,ok wont call disturb one know avoiding burden
3969,ham,u turn heater heater set lt gt degrees
3103,ham,even friend priest call
4537,ham,never blame day ur life good days give u happiness bad days give u experience essential life gods blessings good morning
311,ham,today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
5044,ham,ic lol play doors sometime yo
170,ham,yes completely form clark also utter waste
3393,ham,r u cooking dinner
2683,ham,got call landline number asked come anna nagar go afternoon
138,ham,check rooms befor activities
4208,ham,lets use next week princess
981,ham,started searching get job days great potential talent
4615,ham,hows favourite person today r u workin hard sleep last nite nearly rang u
622,ham,good words words may leave u dismay many times
5517,ham,miles smiles r made frm letters u know difference smile ur face keeps happy even though miles away u keep smiling good nyt
763,spam,urgent ur guaranteed award still unclaimed call closingdate claimcode pmmorefrommobile bremoved mobypobox ls yf
2153,ham,hi kindly give us back documents submitted loan stapati
2058,ham,nothing got msg frm tht unknown
2145,spam,freemsg hey buffy love satisfy men home alone feeling randy reply c pix qlynnbv help p msg send stop stop txts
2783,ham,well right gonna get check today steam sales pee text want come get
3722,ham,blank blank wat blank lol
4297,spam,please call immediately urgent message waiting
1519,ham,shall ask one thing dont mistake
753,ham,dont gimme lip caveboy
240,spam,u secret admirer looking make contact u find r reveal thinks ur special call
554,ham,ok every night take warm bath drink cup milk see work magic still need loose weight know
2469,ham,lol well without could big sale together
1958,ham,take something pain moves however side next hrs see doctor
3383,ham,well meant opposed drunken night
1305,ham,right make appointment right
2794,ham,campus library
1417,ham,hours went hair cut
4436,spam,b floppy b snappy happy gay chat service photo upload call p min stop texts call
439,ham,hi hope u get txt journey hasnt gd mins late think
4280,spam,urgent important information user today lucky day find log onto http www urawinner com fantastic surprise awaiting
5050,ham,edison rightly said fool ask questions wise man answer know us speechless viva gm gn ge gnt
4510,ham,takin linear algebra today
5386,ham,work please call
1115,ham,kallis home ground amla home town durban
984,ham,look fuckin time fuck think
4806,ham,sorry delay yes masters
1155,ham,u find sitter kaitlyn sick slept day yesterday
3219,ham,know week going tirunelvai da
4363,ham,right second gotta hit people first
1327,ham,sorry bathroom sup
827,ham,hahaha use brain dear
4438,ham,come u got nothing
5263,ham,pls speak wont ask anything friendship
4986,ham,dont let studying stress l r
4383,ham,yeah sure thing mate haunt got stuff sorted im going sound anyway promoting hex way dont know number joke
653,ham,wait know wesleys town bet hella drugs
145,ham,yes see ya dot
2368,ham,v nice sheffield tom air opinions categories b used measure ethnicity next census busy transcribing
5566,spam,reminder get pounds free call credit details great offers pls reply text valid name house postcode
1583,ham,yep derek house see sunday lt
5298,ham,hand phone chat wit u
2724,ham,tunde wishing great day abiola
1248,ham,horrible gal sch stuff come u got mc
4096,ham,answerin phone actually pretty reasonable hour sleepy
4471,ham,lemme know swing pick free basically time semester
4476,ham,meet soon princess ttyl
4169,spam,congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wc n xx
3853,ham,true k u knw dis lt gt
3275,ham,thanx lot
1592,ham,honeymoon outfit
874,ham,ugh long day exhausted want cuddle take nap
1024,ham,may call later pls
1756,ham,really good dhanush rocks
157,ham,leaving house
174,ham,bloody hell cant believe forgot surname mr ill give u clue spanish begins
405,ham,yep great loxahatchee xmas tree burning lt gt starts hour
3735,ham,tacos rajas burrito right
4130,ham,workin get job
5404,ham,pls give prometazine syrup mls lt gt mins later feed
4131,ham,done mean
228,ham,hey company elama po mudyadhu
4924,ham,oh yah never cancel leh haha
1960,ham,howz persons story
2626,spam,free ring tone text polys every week get new tone yrs wk
2035,ham,avatar supposed subtoitles
4099,ham,think thanks see tomo
612,ham,valentine game send dis msg ur friends answers r someone really loves u ques colour suits best rply
4563,ham,much u trying get
212,ham,home always chat
3294,ham,little meds say take every hours pain back took another hope die
1439,ham,arms fine cardiff uni
1239,ham,dear relieved westonzoyland going plan end
1280,ham,waiting tv show start lor u leh still busy ur report
2228,ham,oh k k take test
5351,ham,yup paragon havent decided whether cut yet hee
1761,ham,nt yet chikku simple habba hw abt u
304,ham,womdarfull actor
3274,ham,finished eating got u plate leftovers time
357,spam,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
5535,ham,know thinkin malaria relax children cant handle malaria would worse gastroenteritis takes enough replace loss temp reduce give malaria meds vomit self limiting illness means days completely stop
1996,ham,shall come get pickle
2095,spam,private account statement shows unredeemed bonus points claim call identifier code expires
4450,spam,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj
689,ham,thanks love torch bold
4741,ham,keep seeing weird shit bein woah realising actually reasonable oh
2285,ham,velly good yes please
976,ham,hey ad crap nite borin without ya boggy u boring biatch thanx u wait til nxt time il ave ya
3389,ham,kallis dismissial nd test
2904,ham,tell pa pain de
4854,ham,fine hope also
2993,ham,k see k
4151,ham,work mon thurs sat cant leh booked liao day u free
3093,ham,dear take care reaching home love u lot
2406,ham,meeting darren
3715,ham,oh get paid outstanding one commercial hasbro august made us jump many hoops get paid still
1718,spam,wow boys r back take uk tour win vip tickets pre book vip club txt club trackmarque ltd info vipclub u
4025,ham,wat time wan today
4167,ham,well desperate call armand
613,ham,many dependents
5104,ham,boy loved gal propsd bt didnt mind gv lv lttrs bt frnds threw thm boy decided aproach gal dt time truck speeding towards gal wn hit girl boy ran like hell n saved asked hw cn u run fast boy replied boost secret energy n instantly girl shouted energy n thy lived happily gthr drinking boost evrydy moral story hv free msgs gud ni
4374,ham,fine absolutly fine
3492,ham,ok
3479,ham,ask around lot terms mids
4127,spam,spjanuary male sale hot gay chat cheaper call national rate p min cheap p min peak stop texts call p min
393,ham,morning ok
3057,ham,webpage available
3915,ham,today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
3120,ham,stop knowing well
1491,ham,cant believe said many things morning really wanted say good morning love beautiful morning see library later
5512,ham,making dinner
4440,ham,want grasp pretty booty
5365,spam,camera awarded sipix digital camera call fromm landline delivery within days
272,ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay
667,ham,carlos minute still need buy
1577,ham,nosy guess idk reacting freaked
3606,ham,jordan got voted last nite
724,ham,ya even cookies jelly
3684,ham,use soc use home dunno type word ar
2590,spam,join uk horniest dogging service u sex nite sign follow instructions txt entry nyt ec lp msg p
3506,ham,life alle mone eppolum oru pole allalo
362,ham,oh ok prob
830,ham,thanks yesterday sir wonderful hope enjoyed burial mojibiola
1532,ham,oh dang mean send lol
2882,ham,printer cool mean groovy wine groovying
2479,ham,yet like keep touch easiest way barcelona way ru house
928,ham,k give kvb acc details
3537,ham,oic cos n sis got lunch today dad went dunno whether eat sch wat
1495,ham,everything weather keep extra warm cold nothing serious pls lots vitamin c
4302,ham,ta jobs available let know please cos really need start working
697,ham,aight close still around alex place
1006,ham,give sec think think
2989,ham,still grinder
801,spam,last chance claim ur worth discount vouchers today text shop savamob offers mobile cs savamob pobox uz sub
2235,ham,room number wanna make sure knocking right door
3346,ham,reverse cheating mathematics
4140,ham,ever green quote ever told jerry cartoon person irritates u always one loves u vry much fails express gud nyt
4586,spam,u secret admirer looking make contact u find r reveal thinks ur special call stopsms ppm
4540,ham,party place usf charge contribute way greatly appreciated yeah got room one
3784,ham,online transaction
1213,ham,yo game almost want go walmart soon
5076,spam,nd attempt contract u weeks top prize either cash prize call
2771,ham,problem talk later
1745,spam,someone conacted dating service entered phone fancy find call landline pobox n tf
771,ham,getting anywhere damn job hunting
237,ham,ill little closer like bus stop street
4551,ham,hey u fancy meetin cha hav lil beverage txt ring meet l r quite tired got v pist love pete x x x
2370,ham,boy loved gal propsd bt didnt mind gv lv lttrs bt frnds threw thm boy decided aproach gal dt time truck speeding towards gal wn hit girl boy ran like hell n saved asked hw cn u run fast boy replied boost secret energy n instantly girl shouted energy n thy lived happily gthr drinking boost evrydy moral story hv free msgs gud ni
5369,ham,hi mom might back later lt gt
1588,ham,dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl
896,ham,superb thought grateful u dont everything u want means u still opportunity happier tomorrow u today
1092,ham,please da call mistake side sorry da pls da goto doctor
5362,ham,inside office still filling forms know leave
850,spam,today offer claim ur worth discount vouchers text yes savamob member offers mobile cs sub unsub reply x
1150,ham,drop tank
1845,ham,da good good player unsold
738,spam,hi customer loyalty offer new nokia mobile txtauction txt word start get ctxt tc p mtmsg
681,ham,hex place talk explain
4525,ham,sent part
4316,ham,captain room
730,ham,dunno u ask
3852,ham,rounder required
4711,ham,ya knw u vl giv ok thanks kano anyway enjoy wit ur family wit st salary
1165,ham,well im computerless time make oreo truffles
1692,ham,know raping dudes poker
5423,ham,sorry call later
755,ham,realy sorry recognise number confused r u please
2945,spam,currently message awaiting collection collect message call
795,ham,generally one uncountable noun u dictionary pieces research
4340,ham,got outta class gonna go gym
2755,ham,ok chinese food way get fat paying lipo
3547,ham,th gower mate r u man good wales ill b back morrow c u wk msg random
4020,spam,u selected stay top british hotels nothing holiday valued dial claim national rate call bx sw ss
2636,ham,tiwary rcb battle bang kochi
4791,ham,yup izzit still raining heavily cos e mrt c outside
4781,ham,sen told going join uncle finance cbe
5455,ham,wishing beautiful day moment revealing even things keep smiling enjoy
4022,ham,pick rayan macleran
1284,ham,yes thought thanks
5462,spam,txt call claim reward hours talk time use phone subscribe gbp mnth inc hrs stop txtstop www gamb tv
1942,spam,well done costa del sol holiday await collection call toclaim sae tcs pobox stockport sk xh cost pm max mins
3647,ham,carlos says pick later yeah set
2288,ham,alex knows guy sells mids south tampa think could set like
5352,ham,good morning princess great day
5206,ham,reach ur home lt gt minutes
2664,spam,free st week nokia tone ur mob every week txt nokia get txting tell ur mates www getzed co uk pobox w wq norm p tone
3413,ham,didnt search online let know
5427,spam,santa calling would little ones like call santa xmas eve call book time
2359,ham,talk others probably come early tomorrow
2510,ham,u wake already wat u u picking us later rite taking sq reaching ard smth like dat u check e arrival time c ya soon
2772,ham,ur sis
1348,ham,doesnt need test
224,ham,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
4178,ham,ok lor go tog lor
2137,ham,well done luv ya
3299,spam,message free welcome new improved sex dogging club unsubscribe service reply stop msgs p
4066,ham,dont kick coco
1445,ham,ducking chinchillas
1241,ham,oh yes speak txt u hmm u get email
5532,ham,happened adventuring
2873,ham,see
5562,ham,ok lor sony ericsson salesman ask shuhui say quite gd use considering
161,ham,keep safe need miss already envy everyone see real life
5542,ham,armand says get ass epsilon
4972,ham,hey come online use msn
3410,ham,whats coming hill monster hope great day things r going fine busy though
4423,ham,mmm fuck merry christmas
4422,ham,still west coast haiz take forever come back
2638,ham,cancer moms making big deal regular checkup aka pap smear
3071,ham,wait till bus pick
5030,spam,like tell deepest darkest fantasies call p min stop texts call nat rate
305,spam,sms ac blind date u rodds aberdeen united kingdom check http img sms ac w icmb cktz r blind dates send hide
3362,ham,hate call didnt accept even single call mine even messaged
991,ham,th july
4292,ham,call u done
5029,ham,go chase run crossing street
1191,ham,done
3472,ham,heart empty without love mind empty without wisdom eyes r empty without dreams amp life empty without frnds alwys touch good night amp sweet dreams
555,ham,look frying pan case cheap book perhaps silly frying pan likely book
3789,spam,want funk ur fone weekly new tone reply tones u text www ringtones co uk original n best tones gbp network operator rates apply
3634,ham,hui xin da lib
2684,ham,okay chasing dream good next
122,ham,new address apples pairs malarky
1589,ham,let go bill millers
2616,ham,marrow wed lt gt aha
2008,ham,hi birth lb oz mother baby brilliantly
3139,ham,wat r u
3165,ham,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good
3480,ham,sure check yahoo email sent photos yesterday
2914,ham,kindly send one flat lt decimal gt today
1231,ham,want send something sell fast lt gt k easy money
1086,ham,fr ndship like needle clock though v r clock v r nt able met evn v meet itz seconds bt v alwys stay conected gud
1244,ham,shoot docs waiting room
2400,ham,oh kay sat right
1665,ham,v fan
3065,ham,ok many buy
2069,ham,hard believe things like say lie think twice saying anything
2193,ham,congrats treat pending mail days mail thru respect mother home check mails
1113,ham,means still think teju
2920,ham,xy ur car u picking
505,spam,error
1853,spam,nd time tried contact u u pound prize claim easy call p per min bt national rate
2423,ham,bloo bloo bloo miss first bowl
2661,ham,want finally lunch today
1017,spam,free st week nokia tone ur mob every week txt nokia get txting tell ur mates www getzed co uk pobox w wq norm p tone
1223,ham,teach apps da come college
4260,ham,sad story man last week b day wife nt wish parents forgot n kids went work even colleagues wish
38,ham,anything lor u decide
4813,ham,fyi usf swing room whenever
3755,spam,bloomberg message center wait apply future http careers bloomberg com
452,ham,thanks hope good day today
5184,ham,town jus take mrt later
3826,ham,hi always online yahoo would like chat someday
4146,ham,lol would despite cramps like girl
3260,spam,congratulations thanks good friend u xmas prize claim easy call p per minute bt national rate
4779,ham,u r beautiful girl ive ever seen u r baby come c common room
3451,ham,ya telling abt tht incident
2012,ham,whatever want know rules talk earlier week start happening showing responsibility yet every week bend rule way way whatever tired thia argument every week lt gt movie doesnt inlude previews still getting
901,ham,probably money worries things coming due several outstanding invoices work two three months ago
3304,ham,tough
4747,ham,orh tot u say still dun believe
2621,ham,come
4305,ham,good good billy mates gone jogging enjoy concert
3357,ham,ok problem get taxi c ing tomorrow tuesday tuesday think r going cinema
4184,ham,sorry call later meeting
590,ham,meeting call later
463,spam,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer ends th july c apply opt available
2439,ham,busy juz dun wan go early hee
693,ham,sister law hope great month saying hey abiola
5073,spam,win shopping spree every week starting play text store skilgme tscs winawk age perweeksub
787,ham,time fixes spelling sometimes gets completely diff word go figure
15,spam,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
24,ham,ffffffffff alright way meet sooner
1762,ham,got ur mail dileep thank muchand look forward lots support less contacts remember one venugopal mentioned tomorrow late shall try come till goodnight dear
2898,ham,collecting ur laptop going configure da settings izzit
3386,ham,ok
4466,ham,cheers callin babe sozi culdnt talkbut wannatell u details later wenwecan chat properly x
3631,spam,get official england poly ringtone colour flag yer mobile tonights game text tone flag optout txt eng stop box w wx
5017,ham,hey gals u wanna meet dinner n te
3209,ham,oops phone died even know yeah like better
2642,spam,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
1737,ham,come tomorrow di
5563,ham,ard like dat lor
3874,ham,happy sad one thing past good morning
5234,ham,ok cool see ya
247,ham,asked call ok
2283,ham,waited yesterday
1057,ham,u drive lor
476,ham,ok gonna head usf like fifteen minutes
4364,ham,evry emotion dsn hav words evry wish dsn hav prayrs u smile world wit u othrwise even drop tear dsn lik stay wit u b happy good morning keep smiling
3578,ham,yeah confirmed staying weekend
3361,ham,please attend phone
3979,ham,reason team budget available last buy unsold players base rate
3505,ham,food
8,spam,winner valued network customer selected receivea prize reward claim call claim code kl valid hours
4686,ham,alright bring see like lt gt mins
331,ham,k k apo k good movie
4354,ham,fun fact although would think armand would eventually build tolerance shit considering much smokes gets fucked like hits
5319,ham,kothi print marandratha
5151,ham,problem renewal right away dont know details
1054,ham,jay getting really impatient belligerent
1362,ham,shuhui say change suntec steamboat u noe r u
1912,ham,lol grr mom taking forever prescription pharmacy like minutes away ugh
1277,ham,lor
4325,ham,number sir
1293,ham,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes
3783,ham,r going send
2737,ham,really crashed cuddled sofa
4173,ham,sorry call later
3962,ham,dad back ph
3745,ham,nobody names penis girls name story add
533,ham,gudnite tc practice going
4334,ham,bishan lei tot say lavender
2685,ham,yupz oredi booked slots weekends liao
2275,ham,think could stop like hour roommate looking stock trip
1192,ham,come home one last time wont anything trust
3884,ham,gumby special lt gt cheese pizza know doin tonight
1098,ham,fret buy ovulation test strips send wont get til like march send postal address u alright okay
1803,ham,ok lor thanx school
2,spam,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply
1634,ham,yesterday going home
717,spam,error
5392,ham,ooooooh forgot tell u get yoville phone
1681,ham,okay wait ah
4792,ham,send resume
2837,ham,nice nice working
4365,ham,remember
1643,ham,sleeping nt feeling well
4892,ham,worse uses half way stops better complete
4673,spam,customer service announcement recently tried make delivery unable please call schedule ref
4205,ham,enjoying semester take care brother
2436,ham,oh ya ya remember da
2018,ham,better bb wont use wife doctor
3310,ham,okie wan meet bishan cos bishan driving today
2933,ham,students solved cat question xam lt gt lt gt lt gt tell answer u r brilliant thing got answr
197,ham,u got persons story
3494,ham,cool text head
5229,ham,means u could keep ur words
1334,ham,oh icic k lor den meet day
2411,ham,ok thanx gd nite
4413,ham,said anything wrong sorry de
2078,ham,hey hun onbus goin meet wants go meal donyt feel like cuz get last bus home hes sweet latelyxxx
4119,ham,watch lor saw swatch one thk quite ok ard need nd opinion leh
3862,spam,free msg ringtone http tms widelive com index wml id b ecef ff first true jul
4293,ham,g w r
1344,ham,crazy ar married like gd looking guys frens like say korean leona fave dun thk aft thinking mayb prob go
5331,ham,x course yrs messages messenger lik r sending
4263,ham,never believe actually got taunton wow
1559,ham,message truro hospital ext phone phone side
4641,ham,hide anythiing keeping distance
816,ham,boytoy miss happened
579,spam,mobile number claim calls us back ring claims hot line
3373,ham,electricity went fml
1214,ham,yeah probably sure ilol let u know personally wuldnt bother ur goin mite well
4037,ham,holding
1862,ham,aiyah wait lor u entertain hee
5232,spam,chosen receive award pls call claim number collect award selected receive valued mobile customer
2577,ham,sch neva mind u eat st lor
184,ham,guys close
5497,spam,sms services inclusive text credits pls goto www comuk net login qxj unsubscribe stop extra charge help comuk cm ae
2171,ham,please come imin town dontmatter urgoin outl r reallyneed docd please dontplease dontignore mycalls u thecd isv important tome moro
5519,ham,pls send company name saibaba colany
4765,ham,hi technical support providing assistance us customer call email
3328,ham,number u live
1452,ham,ya taking ure practical lessons start june
1355,ham,baaaaabe misss youuuuu go teach class
3237,ham,aight text back mu swing need somebody get door
1992,ham,valentines huh proof fb page ugh glad really watch rupaul show tool
3649,ham,per request maangalyam alaipayuthe set callertune callers press copy friends callertune
4971,ham,supposed meet discuss abt trip thought xuhui told afternoon thought go lesson
3904,ham,waiting e car mum lor u leh reach home already
3995,ham,love cuddle want hold strong arms right
3185,ham,good morning pookie pie lol hope wake u
2021,ham,anything lor toa payoh got place walk meh
3259,ham,fucking chickened messaged would late woould buzz hear word
3594,ham,sorry call later
4778,ham,sorry completely forgot pop em round week still
3618,ham,sorry sent blank msg yup trying serious studying
4248,spam,text pass collect polyphonic ringtones normal gprs charges apply enjoy tones
687,ham,every king crying baby every great building map imprtant u r today u wil reach tomorw gud ni
2573,ham,house water dock boat rolled newscaster dabbles jazz flute behind wheel
2695,ham,hey sexy buns day word morning ym think
139,spam,rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try
2761,ham,dont thnk wrong calling us
1039,ham,edison rightly said fool ask questions wise man answer know us speechless viva gm gn ge gnt
3147,ham,shit babe thasa bit messed yeh shudvetold u urgran know neway illspeak u moro wen im asleep
4945,ham,wrong phone phone answer one assume people well
5091,ham,check rooms befor activities
3134,ham,messages food
1668,ham,dad gonna call gets work ask crazy questions
617,ham,like v shock leh cos telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor
4773,ham,hi mobile lt gt added contact list www fullonsms com great place send free sms people visit fullonsms com
3954,spam,refused loan secured unsecured get credit call free text back help
1278,ham,dont put phone silent mode ok
3160,ham,challenge know
3629,ham,meeting u work tel shall work tomorrow
1268,ham,seriously tell exact words right
294,ham,much buzy
56,spam,congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss
3544,ham,e person e sms survey
2670,spam,tried contact response offer new nokia fone camcorder hit reply call delivery
5407,ham,yup msg tat yijue tot group mate cos meeting today mah askin leaving earlier wat mah cos mayb haf walk v far
3486,ham,got rumour going buy apartment chennai
3839,ham,went pay rent go bank authorise payment
2047,ham,aight fuck get later
3287,ham,worry sure get
770,ham,lol know dramatic schools already closed tomorrow apparently drive inch snow supposed get
1535,ham,remember day
2627,ham,unni thank dear recharge rakhesh
5074,ham,gud ni dear slp well take care swt dreams muah
2467,ham,world famamus
5430,ham,make time tonight whenever cool text whenever around
5089,ham,type stuff sing
2804,spam,freemsg fav xmas tones reply real
3696,ham,hello per request lt gt rs transfered
2341,ham,take care financial problem help
281,ham,got called tool
4307,ham,awww dat sweet think something nice time tonight ill probably txt u later cos im lonely xxx
2701,ham,feb lt gt love u day send dis ur valued frnds evn comes back u gt married person u luv u ignore dis u lose ur luv evr
5556,ham,yes u texted pshew missing much
2669,spam,wanna get laid nite want real dogging locations sent direct ur mobile join uk largest dogging network txt park nyt ec lp msg
3056,spam,eastenders tv quiz flower dot compare violet e tulip f lily txt e f chance win cash wkent p
858,ham,hai ana tomarrow coming morning lt decimal gt ill sathy go rto office reply came home
5116,ham,thanks fills complete calm reassurance
3799,ham,feb lt gt love u day send dis ur valued frnds evn comes back u gt married person u luv u ignore dis u lose ur luv evr
1120,spam,bored speed dating try speedchat txt speedchat like em txt swap get new chatter chat pobox w wq p msg rcd
5152,ham,idk sitting stop shop parking lot right bawling eyes feel like failure everything nobody wants feel like failing
2715,ham,thinking going reg pract lessons flung advance haha wat time u going
4106,ham,jus finish lunch way home lor tot u dun wan stay sch today
5309,ham,jolly good way give u tickets sat eve speak x
2063,ham,training tomorrow
3337,ham,u go back urself lor
4128,ham,sorry call later
2462,ham,anything lar
4629,spam,todays voda numbers ending selected receive reward match please call quoting claim code standard rates apply
3531,ham,tyler getting th leave long get like hour
4460,spam,welcome uk mobile date msg free giving free calling future mgs billed p daily cancel send go stop
3512,ham,serious money base
2506,ham,congrats kano whr treat maga
1629,ham,yes princess want make happy
128,ham,room
643,ham,probably gonna swing wee bit
2147,ham,collect ur laptop
2158,ham,sad story man last week b day wife nt wish parents forgot n kids went work even colleagues wish entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went said u mind go bedroom minute ok sed sexy mood came minuts latr wid cake n wife parents kidz friends n colleagues screaming surprise waiting sofa naked
1969,ham,laptop noe infra slow lar wan fast one
3132,spam,lookatme thanks purchase video clip lookatme charged p think better send video mmsto
5264,ham,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moral one get name person bt girlfrnd g n g h
4000,ham,k k give treat
739,ham,wish
2169,ham,thx well months
1824,ham,u dun wan u dun like already ah wat u still eating
5037,spam,believe true incredible txts reply g learn truly amazing things blow mind fwd p txt
1338,ham,buying today need c meh
5012,spam,guaranteed cash prize claim yr prize call customer service representative pm cost p
3926,ham,enough trouble sleeping
1617,ham,k makes sense btw carlos difficult guys gonna smoke go pick second batch get gas
470,ham,many company tell language
3736,ham,get ok
3302,spam,rct thnq adrian u text rgds vatian
793,ham,u dogbreath sounding like jan c al
2923,ham,sent send
3171,ham,mah b pick tomorrow
4331,ham,thought king hill thing
124,ham,going sao mu today done
4143,ham,infact happy new year seeing
29,ham,ahhh work vaguely remember feel like lol
2098,ham,cutest girl world
4584,spam,ur chance win wkly shopping spree txt shop c www txt shop com custcare x p wk
4023,ham,u gd lor go shopping got stuff u wan watch infernal affairs come lar
2045,ham,send pic like
398,ham,always putting business put pictures ass facebook one open people ever met would think picture room would hurt make feel violated
1699,spam,free msg sorry service ordered could delivered sufficient credit please top receive service
4047,spam,win cash prize prize worth
897,ham,hope good week checking
1636,ham,come life brought sun shiny warming heart putting constant smile face making feel loved cared
540,ham,tirupur da started office call
2384,ham,pussy perfect
2732,ham,mm feeling sleepy today shall get dear
3089,ham,wnevr wana fal luv vth books bed fals luv vth yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb
5432,ham,thanx lot ur help
1902,ham,sorry call later
474,spam,want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network txting moan nyt ec p msg p
158,ham,hello love get interview today happy good boy think missing
2662,ham,know dad back
5284,ham,sent ur email id soon
1876,spam,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv info www percent real com
3011,ham,imagine life without see fast u searching worry l always disturb u goodnoon
3414,ham,need go get
151,ham,wine flowing nevering
2217,ham,ok waliking ard u wan buy anything go ur house
3843,ham,chile please lt decimal gt hour drive come time subletting feb april audition season
3924,ham,okay lor still let us go ah coz know later drop cards box right
1752,ham,thinking chuckin ur red green n black trainners save carryin bac train
3318,ham,worries hope photo shoot went well spiffing fun workage
1818,ham,well watch shrek b
1543,ham,press conference da
2441,ham,great church holla get
3416,ham,remains bro amongst bros
1300,ham,great hear settling well happenin wit ola
417,ham,alright new goal
1514,ham,hows champ leaving glasgow
1769,ham,little difficult simple way enter place
659,ham,doesnt make sense take unless free need know wikipedia com
3812,ham,excellent wish together right
4227,ham,ok thats cool either raglan rd edward rd behind cricket ground gimme ring ur closeby see tuesday
5480,ham,seen back holby
4651,ham,finally happened aftr decades beer cheaper petrol goverment expects us drink drive
2144,ham,stayin trouble stranger saw dave day sorted still bloke u gona get girl mr ur mum still thinks get getha
4384,ham,need lar go engin cos sis arts today
2738,ham,hi chachi tried calling u unable reach u pl give missed cal u c tiz msg kanagu
3891,spam,double mins txts orange tariffs latest motorola sonyericsson nokia bluetooth free call mobileupd call optout hf
4860,ham,hey guy know breathing neck get bud anyway able get half track usf tonight
5363,ham,think mentor percent sure
2797,ham,tell friends plan valentines day lt url gt
5501,spam,private account statement shows un redeemed points call identifier code expires
2274,ham,cold dont sad dear
333,spam,call germany pence per minute call fixed line via access number prepayment direct access
5271,ham,u wan come dinner tonight
840,spam,last chance claim ur worth discount vouchers text yes savamob member offers mobile cs sub remove txt x stop
3157,ham,long time remember today
3377,ham,good afternon love today hope good maybe interviews wake miss babe passionate kiss across sea
791,ham,hoping enjoyed game yesterday sorry touch pls know fondly bein thot great week abiola
1339,ham,aight sorry take ten years shower plan
1385,ham,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moral one get name person bt girlfrnd g n g h
4428,ham,bank say money
